USA;2000;15;System Ax Friend [US/US 1998];f;Asti Axel;Golden Locket;17;44.50;508 m
USA;2000;16;System Dr Daria [US/US 1998];f;Rocksteady Eddie;System Debbie;18;44.00;525 m
USA;2000;17;Boot Scootin Gal [US/US 1997];f;Paragator;Country Silk;23;43.50;595 m
USA;2000;18;Kiowa Gin Fizz [US/US 1997];f;Flying Train;Chill Baby;18;43.00;621 m
USA;2000;18;Sugarnooche [US/US 1998];f;Wigwam Wag;Gold to Go;20;43.00;503 m
USA;2000;19;EM's I'm a Rebel [US/US 1998];m;Fortress *;Marie Lebeaux;13;42.00;513 m
USA;2000;20;Flying Hugs [US/US 1998];f;Bara Buzz;Westmead Flirt *;28;41.50;549 m
USA;2000;21;Leta's Duke [US/US 1998];m;Fortress *;Leta's Streak;18;41.00;503 m
USA;2000;22;PC Seeyalater [US/US 1998];f;Wigwam Wag;Be Original;16;40.50;503 m
USA;2000;22;Wakeup Betty [US/US 1997];f;FMC's Wake Up;Behns Tiffany;21;40.50;563 m
USA;2000;23;Woof Woof Dotcom [US/US 1998];m;Itsa Sompin Good;Cheyenne Andrea;18;39.50;531 m
USA;2000;24;LL Ashley [US/US 1997];f;Molotov;TLC Little Lavon;9;39.00;623 m
USA;2000;25;D's Jakethesnake [US/US 1998];m;Oshkosh Racey;D's Kim-iu;18;38.50;533 m
USA;2000;26;Road Miles [US/US 1998];m;Bomb Threat;Cookie Blast;17;38.00;574 m
USA;2000;26;Kiowa Shawnee So * [US/IE 1998];m;Minaki Zeke;Kiowa Shawnee;11;38.00;503 m
USA;2000;27;Elway Drive [US/US 1997];m;My Rooster;Ebegeebe Drive;17;37.50;524 m
USA;2000;27;Masked Justice [US/US 1998];m;SC's Mask Rider;MJ's Olivia;15;37.50;514 m
USA;2000;27;Stan's Boy Flyer [US/US 1999];m;Gable Dodge;Choicewheel;12;37.50;498 m
USA;2000;28;Reward Bryant [US/US 1997];m;Bigelow;Lady Gray;14;36.50;503 m
USA;2000;29;PF Mrs Murphy [US/US 1998];f;GRV Velocity;PF Delta D;7;36.00;515 m
USA;2000;29;Pazzo Bazooka [US/US 1998];m;P's Raising Cain;Blitzin Lilly;17;36.00;543 m
USA;2000;29;PF Clancy [US/US 1998];m;GRV Velocity;PF Delta D;7;36.00;515 m
USA;2000;30;Abita Rascal [US/US 1998];m;Unruly Rascal;Simplee Freeway;17;35.50;668 m
USA;2000;30;Craigie Whistler [US/US 1998];m;Molotov;Oshkosh Twist;15;35.50;503 m
USA;2000;30;PC Carol [US/US 1998];f;Wigwam Wag;Be Original;13;35.50;503 m
USA;2000;30;Shannon Eve [US/US 1997];f;Bara Buzz;Oshkosh Quake;11;35.50;503 m
USA;2000;31;DZ Lopez [US/US 1998];m;Task Haughty Do;ML Cranbury Road;15;34.00;503 m
USA;2000;32;Legs Justin [US/US 1998];m;Hey Vern;Legs Serena;17;33.00;573 m
USA;2000;32;Mohican Money Jo [US/US 1998];m;Fast Money;Kings Easy Money;19;33.00;609 m
USA;2000;33;System Pita Rita [US/US 1998];f;System Carl;Pistachio;10;32.50;558 m
USA;2000;34;Pompey's Gold [US/US 1997];m;Dungaree;Gold to Go;17;32.00;532 m
USA;2000;35;Blitzen Banjo [US/US 1997];m;Big Blitz;Pink Passion;15;31.00;556 m
USA;2000;35;DK's Everready [US/US 1998];m;Molotov;Kelly Owen;15;31.00;503 m
USA;2000;35;Impossible Dream [US/US 1997];m;Santa Fe Rufus;Poco Mercedes;18;31.00;559 m
USA;2000;35;Jordans Ride [US/US 1997];f;Greys Statesman;Working Fire;18;31.00;649 m
USA;2000;35;Right On Top [US/US 1997];f;Abita Simon;Okie Sunshine;15;31.00;604 m
USA;2000;35;SC Silver Ghost [US/US 1998];m;Task Haughty Do;Blue Jean Bayou;18;31.00;531 m
USA;2000;36;B Mac's Pike [US/US 1998];m;Fortress *;Easy Ellie;7;30.50;503 m
USA;2000;37;Granting Wishes [US/US 1997];m;Classy Cooper;Callie Cuddles;13;30.00;503 m
USA;2000;37;Greys Starquest [US/US 1997];m;Blazing Desire;Greys Shininstar;10;30.00;503 m
USA;2000;37;Richmond Webb [US/US 1998];m;Fantastic Memory;Jamie's Girl;18;30.00;525 m
USA;2000;37;Shata Vallie [US/US 1997];m;Splishin Vallie;Nordic Princess;8;30.00;503 m
USA;2000;38;Abita Raginflame [US/US 1997];m;Trojan Episode;MP's Lookmeover;17;29.50;532 m
USA;2000;38;Sphera [US/US 1998];f;Oshkosh Slammer;AB Baby Blue;9;29.50;503 m
